id;numero_client;amount;country_code;invoice_number;customer_msisdn;customer_account;currency;transaction_id;payment_method;date_paiement;trials;paiement_status;paiement_message
1;Kentucky;24378;SZ;Assistant;expedite Run invoice;Fantastic Extended User-centric;Designer;Officer;encryption;2021-03-30T08:51:06;70199;INPROGRESS;actuating one-to-one virtual
2;cross-media;11084;GT;THX;port Avon Savings Account;one-to-one synthesizing;Future payment;Identity Falls;pixel payment;2021-03-30T20:22:52;94246;PENDING;JSON Directives Unbranded
3;dynamic Park;78203;AR;leverage Massachusetts;grey HTTP Moldovan Leu;Checking Account robust pixel;Tasty;Small Frozen Chips payment;Mexico reinvent niches;2021-03-30T20:40:26;46563;SUCCESS;Car support
4;Accounts Ford auxiliary;45184;VA;Outdoors product;generating Serbian Dinar;Czech Koruna;Agent;adapter;Investor value-added;2021-03-30T07:50:56;1265;FAILED;Licensed Metal Bike
5;Vietnam Functionality;22019;KY;Officer;Balanced back-end;turn-key;Public-key;Guam;Handmade infrastructures Jewelery;2021-03-30T05:14:43;41476;PENDING;copying 24/7
6;Silver;51904;TV;Movies indigo payment;generating;COM digital Accounts;Licensed Rubber Hat;firewall Administrator;compressing;2021-03-30T21:03:13;25555;INPROGRESS;Personal Loan Account input
7;systems New York 1080p;95393;TN;lime;National action-items Refined Cotton Ball;Mississippi;Data;deposit;Tactics;2021-03-30T03:23:46;65848;SUCCESS;SMS Operations
8;adapter exuding Borders;66870;AI;initiatives Dynamic solutions;Sleek Frozen Chair JSON;Handmade Branding asymmetric;Station proactive;invoice Berkshire;COM;2021-03-30T16:36:24;71568;INPROGRESS;compress
9;Infrastructure user-facing Implementation;79831;SN;infrastructure Specialist Vision-oriented;Division Sleek Frozen Towels;24 hour ivory;Avon context-sensitive;Generic Awesome;International Latvian Lats Table;2021-03-30T06:48:13;90925;INPROGRESS;Handmade North Carolina Pizza
10;Books Massachusetts;94515;KG;monitor Fantastic Cotton Soap Connecticut;Computers Savings Account;EXE 3rd generation Frozen;New Zealand system engine Handcrafted Rubber Computer;Personal Loan Account composite Nepal;pink Guinea;2021-03-30T07:00:49;11440;FAILED;multi-byte Persevering
